timesteps,episodes,total_reward,waypoints_completed,TimeLimit.truncated
316859,1112,5,5,False
317159,1113,4,4,True
317334,1114,5,5,False
317634,1115,1,1,True
317928,1116,5,5,False
318191,1117,5,5,False
318491,1118,1,1,True
318791,1119,1,1,True
319029,1120,5,5,False
319329,1121,3,3,True
319629,1122,2,2,True
319929,1123,2,2,True
320229,1124,2,2,True
320529,1125,3,3,True
320829,1126,1,1,True
321129,1127,4,4,True
321429,1128,1,1,True
321686,1129,5,5,False
321986,1130,4,4,True
322286,1131,3,3,True
322586,1132,3,3,True
322886,1133,4,4,True
323095,1134,5,5,False
323395,1135,0,0,True
323661,1136,5,5,False
323961,1137,4,4,True
324261,1138,4,4,True
324561,1139,3,3,True
324831,1140,5,5,False
325062,1141,5,5,False
325362,1142,3,3,True
325662,1143,2,2,True
325962,1144,3,3,True
326262,1145,3,3,True
326375,1146,5,5,False
326636,1147,5,5,False
326936,1148,3,3,True
327236,1149,0,0,True
327536,1150,4,4,True
327675,1151,5,5,False
327889,1152,5,5,False
328086,1153,5,5,False
328386,1154,1,1,True
328686,1155,3,3,True
328984,1156,5,5,False
329284,1157,4,4,True
329423,1158,5,5,False
329723,1159,4,4,True
329861,1160,5,5,False
330161,1161,4,4,True
330461,1162,4,4,True
330761,1163,2,2,True
331061,1164,4,4,True
331279,1165,5,5,False
331491,1166,5,5,False
331791,1167,4,4,True
332091,1168,2,2,True
332232,1169,5,5,False
332311,1170,5,5,False
332499,1171,5,5,False
332798,1172,5,5,False
333098,1173,1,1,True
333340,1174,5,5,False
333640,1175,0,0,True
333852,1176,5,5,False
334152,1177,3,3,True
334283,1178,5,5,False
334583,1179,0,0,True
334883,1180,3,3,True
335089,1181,5,5,False
335304,1182,5,5,False
335604,1183,1,1,True
335874,1184,5,5,False
336064,1185,5,5,False
336364,1186,2,2,True
336664,1187,1,1,True
336939,1188,5,5,False
337239,1189,4,4,True
337457,1190,5,5,False
337757,1191,3,3,True
337853,1192,5,5,False
338153,1193,2,2,True
338453,1194,3,3,True
338753,1195,4,4,True
339053,1196,0,0,True
339353,1197,3,3,True
339610,1198,5,5,False
339708,1199,5,5,False
340008,1200,4,4,True
340308,1201,4,4,True
340608,1202,2,2,True
340908,1203,4,4,True
341208,1204,1,1,True
341508,1205,4,4,True
341808,1206,1,1,True
342108,1207,0,0,True
342235,1208,5,5,False
342419,1209,5,5,False
342675,1210,5,5,False
342844,1211,5,5,False
343127,1212,5,5,False
343427,1213,2,2,True
343727,1214,1,1,True
343990,1215,5,5,False
344179,1216,5,5,False
344479,1217,2,2,True
344605,1218,5,5,False
344905,1219,4,4,True
345205,1220,2,2,True
345425,1221,5,5,False
345682,1222,5,5,False
345982,1223,3,3,True
346282,1224,2,2,True
346582,1225,1,1,True
346803,1226,5,5,False
347103,1227,4,4,True
347357,1228,5,5,False
347597,1229,5,5,False
347886,1230,5,5,False
